City,Colors Reported,Shape Reported,State,Time,Location
Whitmore Lake,,CIGAR,MI,12/24/1947 21:00,"Whitmore Lake,MI"
Kelseyville,,DISK,CA,4/30/1948 12:00,"Kelseyville,CA"
Scipio,RED,SPHERE,IN,5/10/1948 19:00,"Scipio,IN"
Borger,,DISK,TX,6/15/1948 16:00,"Borger,TX"
Baltimore,,OVAL,MD,6/30/1948 0:00,"Baltimore,MD"
Jim Ridge,,,WV,6/30/1948 8:00,"Jim Ridge,WV"
Ojai,,LIGHT,CA,7/15/1948 22:00,"Ojai,CA"
New York City,,CIRCLE,NY,8/1/1948 2:00,"New York City,NY"
Conshohocken,,OVAL,PA,8/15/1948 12:00,"Conshohocken,PA"
Sharpsburg,,CIRCLE,MD,12/12/1948 23:30,"Sharpsburg,MD"
Seattle,,DISK,WA,4/10/1949 15:00,"Seattle,WA"
Oak Ridge,,OTHER,WV,5/1/1949 14:00,"Oak Ridge,WV"
Grays,,LIGHT,SC,5/15/1949 6:30,"Grays,SC"
Los Angeles,,CIRCLE,CT,6/4/1949 10:00,"Los Angeles,CT"
Anchorage,,DISK,AK,6/10/1949 21:00,"Anchorage,AK"
Knoxville,,OTHER,TN,6/30/1949 15:00,"Knoxville,TN"
Salem,,CIGAR,OR,6/30/1949 21:00,"Salem,OR"
Fairbanks,,DISK,AK,7/1/1949 11:00,"Fairbanks,AK"
Marion,,FORMATION,AL,7/1/1949 16:00,"Marion,AL"
Booneville,,,MS,7/15/1949 20:30,"Booneville,MS"
Excelsior,,CIRCLE,MN,8/15/1949 0:00,"Excelsior,MN"
Mill Valley,,LIGHT,CA,8/15/1949 21:00,"Mill Valley,CA"
Tarrant City,ORANGE,CIRCLE,AL,8/15/1949 22:00,"Tarrant City,AL"
Steilacoom,,DISK,WA,8/25/1949 19:00,"Steilacoom,WA"
Mt Gilead,,CIRCLE,OH,9/15/1949 21:00,"Mt Gilead,OH"
Post,,DISK,TX,9/15/1949 21:00,"Post,TX"
San Marcos,,CYLINDER,TX,10/10/1949 20:30,"San Marcos,TX"
Lackland AFB,,LIGHT,TX,10/10/1949 21:00,"Lackland AFB,TX"
Baltimore,,CIGAR,MD,10/15/1949 20:00,"Baltimore,MD"
Mount Hope,,,WV,1/1/1950 22:00,"Mount Hope,WV"
New York City,,OVAL,NY,1/2/1950 0:00,"New York City,NY"
Roswell,RED,,NM,3/22/1950 0:00,"Roswell,NM"
Arkansas,,DISK,AR,4/15/1950 8:00,"Arkansas,AR"
Waynesborough,,DISK,VA,4/15/1950 14:00,"Waynesborough,VA"
Fort Lewis,,TRIANGLE,WA,5/12/1950 14:00,"Fort Lewis,WA"
Crowder,,,MS,6/1/1950 0:00,"Crowder,MS"
Philadelphia,,DISK,MS,6/1/1950 16:00,"Philadelphia,MS"
Pittsburgh,,OVAL,PA,6/1/1950 20:00,"Pittsburgh,PA"
Kensington,,OVAL,MD,6/7/1950 20:00,"Kensington,MD"
Kansas City,,DISK,MO,6/8/1950 10:00,"Kansas City,MO"
Napa,GREEN,DISK,CA,6/10/1950 0:00,"Napa,CA"
Grosse Pointe Park,,OVAL,MI,6/15/1950 13:00,"Grosse Pointe Park,MI"
Bonifay,,DISK,FL,6/15/1950 20:00,"Bonifay,FL"
Fort Worth,,DISK,TX,6/15/1950 20:00,"Fort Worth,TX"
Booneville,,DISK,MS,6/20/1950 10:00,"Booneville,MS"
Galveston,,SPHERE,TX,6/20/1950 17:00,"Galveston,TX"
Lac Du Flambeau,,DISK,WI,6/30/1950 16:00,"Lac Du Flambeau,WI"
Florence,,DISK,CO,6/30/1950 17:30,"Florence,CO"
Florence,,LIGHT,CO,6/30/1950 17:30,"Florence,CO"
Coeur d'Alene,ORANGE,CIGAR,ID,7/2/1950 13:00,"Coeur d'Alene,ID"
Bay St. Louis,,LIGHT,MS,7/2/1950 21:00,"Bay St. Louis,MS"
East Palestine,,LIGHT,OH,7/10/1950 20:30,"East Palestine,OH"
Newark,,SPHERE,NJ,7/15/1950 21:30,"Newark,NJ"
Los Padres National Forest,,FORMATION,CA,7/15/1950 23:00,"Los Padres National Forest,CA"
Smithport,,DISK,PA,7/20/1950 21:30,"Smithport,PA"
Louisville,,OTHER,KY,8/1/1950 4:00,"Louisville,KY"
Stanfield,,DISK,OR,8/15/1950 14:00,"Stanfield,OR"
Pikeville,,DISK,KY,10/1/1950 11:00,"Pikeville,KY"
Sandy Hook,,TRIANGLE,NJ,10/15/1950 15:00,"Sandy Hook,NJ"
Half Moon Bay,,OTHER,CA,12/12/1950 22:00,"Half Moon Bay,CA"
Palm Springs,,CIGAR,CA,1/20/1951 4:30,"Palm Springs,CA"
Thompsonville,,DISK,CT,2/3/1951 22:00,"Thompsonville,CT"
Los Angeles,,DISK,CA,2/15/1951 11:00,"Los Angeles,CA"
Irving,BLUE,DISK,KS,4/15/1951 0:30,"Irving,KS"
Fort Sill,,OVAL,OK,5/15/1951 3:00,"Fort Sill,OK"
Oklahoma,,CIGAR,OK,6/1/1951 19:00,"Oklahoma,OK"
Jasper,,OVAL,NC,6/3/1951 13:00,"Jasper,NC"
Mount Pinos,,DISK,CA,6/6/1951 2:00,"Mount Pinos,CA"
Greenville,GREEN,DISK,MS,6/15/1951 20:30,"Greenville,MS"
Jackson Heights,,DISK,NY,6/30/1951 7:00,"Jackson Heights,NY"
Birmingham,,,AL,6/30/1951 19:00,"Birmingham,AL"
Otis Orchards,,DISK,WA,7/1/1951 3:00,"Otis Orchards,WA"
Atlanta,,,GA,7/1/1951 14:00,"Atlanta,GA"
Calaveras County,,DISK,CA,7/3/1951 3:00,"Calaveras County,CA"
Green River,GREEN,SPHERE,WY,7/3/1951 12:00,"Green River,WY"
Provo,BLUE,DISK,UT,7/10/1951 23:30,"Provo,UT"
Spokane Valley,,SPHERE,WA,7/15/1951 14:00,"Spokane Valley,WA"
Sunland,,CIRCLE,CA,8/10/1951 1:00,"Sunland,CA"
Altoona,,DISK,PA,8/15/1951 13:00,"Altoona,PA"
Jacksonville,,DISK,FL,10/15/1951 20:00,"Jacksonville,FL"
Holloman AFB,,CIRCLE,NM,11/15/1951 6:00,"Holloman AFB,NM"
Salt Lake City,,,UT,1/1/1952 0:00,"Salt Lake City,UT"
Binghamton,,DISK,NY,2/10/1952 21:00,"Binghamton,NY"
Nellis AFB,,DISK,NV,2/17/1952 18:00,"Nellis AFB,NV"
Chicago,,DISK,IL,4/15/1952 13:00,"Chicago,IL"
Greenville,ORANGE,TRIANGLE,TX,4/15/1952 16:00,"Greenville,TX"
Pittsburgh,,CYLINDER,PA,5/15/1952 10:15,"Pittsburgh,PA"
Allyn,,DISK,WA,5/15/1952 20:00,"Allyn,WA"
Dousman,,,WI,6/1/1952 11:00,"Dousman,WI"
Norfolk,RED,FIREBALL,VA,6/1/1952 22:00,"Norfolk,VA"
Evergreen,,DISK,CO,6/6/1952 13:00,"Evergreen,CO"
Chicago,,CIRCLE,IL,6/10/1952 12:00,"Chicago,IL"
Fortville,,DISK,IN,6/13/1952 7:30,"Fortville,IN"
Luke Airforce Base,,EGG,AZ,6/15/1952 0:00,"Luke Airforce Base,AZ"
Piedra Blanka,,CIGAR,CA,6/15/1952 0:00,"Piedra Blanka,CA"
Jacksonville,,TRIANGLE,FL,6/15/1952 21:00,"Jacksonville,FL"
Maywood,,CIRCLE,CA,6/15/1952 23:00,"Maywood,CA"
Lansing,,OTHER,MI,6/21/1952 22:00,"Lansing,MI"
Chester,,OVAL,PA,6/22/1952 17:45,"Chester,PA"
Cheyenne,,DISK,WY,6/30/1952 0:00,"Cheyenne,WY"
Pecos,,DISK,TX,6/30/1952 3:00,"Pecos,TX"
Barksdale AFB,,,LA,6/30/1952 6:00,"Barksdale AFB,LA"
Miami,,LIGHT,FL,6/30/1952 9:00,"Miami,FL"
New York City,,DISK,NY,6/30/1952 13:00,"New York City,NY"
Auburn,,OVAL,WA,6/30/1952 18:30,"Auburn,WA"
Miami,,DISK,FL,6/30/1952 21:00,"Miami,FL"
Miami,,DISK,FL,6/30/1952 21:00,"Miami,FL"
Miami,,LIGHT,FL,6/30/1952 21:00,"Miami,FL"
Sebeka,,OTHER,MN,7/1/1952 15:00,"Sebeka,MN"
Detroit,,SPHERE,MI,7/1/1952 22:00,"Detroit,MI"
Tacoma,,SPHERE,WA,7/5/1952 16:00,"Tacoma,WA"
Evergreen,,CIRCLE,CO,7/7/1952 10:00,"Evergreen,CO"
Arlington,,DISK,TX,7/7/1952 13:00,"Arlington,TX"
Arlington,GREEN,OVAL,VA,7/13/1952 21:00,"Arlington,VA"
Wilmington,,DISK,CA,7/15/1952 12:00,"Wilmington,CA"
,,DISK,CA,7/15/1952 12:30,
Litchfield,,OTHER,PA,7/15/1952 13:00,"Litchfield,PA"
South Gate,,CIRCLE,CA,7/15/1952 14:00,"South Gate,CA"
North Bend,,OTHER,WA,7/15/1952 18:30,"North Bend,WA"
New York City,,OTHER,NY,7/15/1952 19:00,"New York City,NY"
Okolona,,OVAL,MS,7/22/1952 9:30,"Okolona,MS"
Tacoma,,SPHERE,WA,7/25/1952 16:00,"Tacoma,WA"
Manville,,SPHERE,RI,7/30/1952 15:00,"Manville,RI"
Tampa,,OVAL,FL,8/1/1952 21:30,"Tampa,FL"
Smithson's Valley,,CIGAR,TX,8/15/1952 17:00,"Smithson's Valley,TX"
Prairie Grove,,DISK,AR,8/15/1952 17:30,"Prairie Grove,AR"
Hamilton,,LIGHT,OH,8/15/1952 22:15,"Hamilton,OH"
Philadelphia,,CIRCLE,PA,9/9/1952 20:00,"Philadelphia,PA"
Norridgewock,,DISK,ME,9/15/1952 14:00,"Norridgewock,ME"
Kansas City,,DISK,MO,10/1/1952 12:00,"Kansas City,MO"
Richland,,CIRCLE,WA,10/15/1952 21:00,"Richland,WA"
Chicago,,OTHER,IL,12/6/1952 19:00,"Chicago,IL"
Camp McCoy,,CYLINDER,WI,12/30/1952 12:00,"Camp McCoy,WI"
Nebraska,,,NE,1/1/1953 0:00,"Nebraska,NE"
Oklahoma,,CIGAR,TX,1/1/1953 14:00,"Oklahoma,TX"
Palm Springs,,,CA,3/15/1953 0:00,"Palm Springs,CA"
Haverhill,,CHEVRON,MA,4/1/1953 15:00,"Haverhill,MA"
Cambridge,RED,SPHERE,MA,4/1/1953 18:00,"Cambridge,MA"
Chariton,,OTHER,IA,4/10/1953 13:00,"Chariton,IA"
Los Angeles,,FIREBALL,CA,4/15/1953 12:00,"Los Angeles,CA"
Midwest City,YELLOW,FIREBALL,OK,4/15/1953 16:00,"Midwest City,OK"
Jamison,,CIGAR,PA,4/30/1953 16:00,"Jamison,PA"
Kingman,,,AZ,5/20/1953 8:00,"Kingman,AZ"
Fresno,,,CA,6/1/1953 21:00,"Fresno,CA"
Roswell,,,NM,6/15/1953 0:00,"Roswell,NM"
Wenatchee,,DISK,WA,6/15/1953 12:00,"Wenatchee,WA"
Fort Worth,,SPHERE,TX,6/15/1953 13:00,"Fort Worth,TX"
North Bend,,CIRCLE,WA,6/15/1953 18:00,"North Bend,WA"
Galveston,,CIGAR,TX,6/17/1953 7:30,"Galveston,TX"
Cleveland,RED,FIREBALL,OH,6/30/1953 0:00,"Cleveland,OH"
Kelso,,OVAL,WA,6/30/1953 15:00,"Kelso,WA"
Colorado Springs,,DISK,CO,7/1/1953 5:30,"Colorado Springs,CO"
,BLUE,DISK,MT,7/4/1953 14:00,
Ogallala,,OTHER,NE,7/4/1953 21:00,"Ogallala,NE"
Nashville,,CYLINDER,TN,7/15/1953 13:00,"Nashville,TN"
Dublin,,CONE,IN,7/17/1953 22:00,"Dublin,IN"
Berkeley,,FIREBALL,MO,8/1/1953 12:00,"Berkeley,MO"
"San Bernadino Mtns, Church Camp",,DISK,CA,8/1/1953 14:00,"San Bernadino Mtns, Church Camp,CA"
Vallejo,,LIGHT,CA,8/7/1953 21:00,"Vallejo,CA"
Louisville,,CIRCLE,KY,8/15/1953 11:00,"Louisville,KY"
Artesia,ORANGE,OTHER,NM,8/15/1953 19:00,"Artesia,NM"
Bowleys Quarters,,SPHERE,MD,8/15/1953 21:00,"Bowleys Quarters,MD"
Homer,,,PA,9/15/1953 14:00,"Homer,PA"
Mauriceville,,DISK,TX,10/15/1953 14:00,"Mauriceville,TX"
New Orleans,,OVAL,LA,10/31/1953 19:00,"New Orleans,LA"
Cicero,,OTHER,IL,11/13/1953 20:00,"Cicero,IL"
Keansburg,,CIRCLE,NJ,11/15/1953 3:00,"Keansburg,NJ"
Pendleton,GREEN,DISK,IN,11/21/1953 22:30,"Pendleton,IN"
Lackland Air Force Base,,DISK,TX,11/25/1953 4:25,"Lackland Air Force Base,TX"
Brunswick,,,ME,1/1/1954 0:00,"Brunswick,ME"
Lakeland,,DISK,FL,1/1/1954 1:00,"Lakeland,FL"
Souix City,,CIRCLE,IA,1/1/1954 22:00,"Souix City,IA"
Santa Monica,,LIGHT,CT,1/15/1954 20:00,"Santa Monica,CT"
Fairbanks,,,AK,2/1/1954 2:00,"Fairbanks,AK"
Burney,,DISK,CA,2/15/1954 19:30,"Burney,CA"
Stanford Campus,,DISK,CA,4/1/1954 22:00,"Stanford Campus,CA"
Corvallis,,DIAMOND,OR,5/15/1954 12:00,"Corvallis,OR"
Quincy,,DISK,IL,5/26/1954 4:30,"Quincy,IL"
Houston,,DISK,TX,6/1/1954 0:00,"Houston,TX"
Ovid,,DISK,NY,6/1/1954 6:00,"Ovid,NY"
Springfield,,CYLINDER,IL,6/1/1954 8:00,"Springfield,IL"
El Cerrito,,LIGHT,CA,6/1/1954 19:00,"El Cerrito,CA"
Toledo,,DISK,OH,6/1/1954 19:00,"Toledo,OH"
Norfolk,,DISK,VA,6/1/1954 20:00,"Norfolk,VA"
Philadelphia,,DISK,PA,6/1/1954 20:00,"Philadelphia,PA"
Fish Canyon,,LIGHT,CA,6/1/1954 23:00,"Fish Canyon,CA"
Atlanta,,DISK,GA,6/6/1954 10:00,"Atlanta,GA"
Estes Park,,CIGAR,CO,6/10/1954 20:00,"Estes Park,CO"
Glenburn,,,ME,6/11/1954 2:00,"Glenburn,ME"
Palm Beach,,LIGHT,CA,6/15/1954 11:00,"Palm Beach,CA"
Claymont,,DISK,DE,6/15/1954 11:45,"Claymont,DE"
Ellington AFB,,DISK,TX,6/15/1954 16:30,"Ellington AFB,TX"
Lorton,,OTHER,VA,6/23/1954 2:00,"Lorton,VA"
Langley Air Force Base,,CIRCLE,VA,6/23/1954 23:00,"Langley Air Force Base,VA"
Thrifty,,CIRCLE,TX,6/25/1954 3:30,"Thrifty,TX"
Marion,,CIRCLE,VA,6/30/1954 0:00,"Marion,VA"
Methuen,,,MA,6/30/1954 0:00,"Methuen,MA"
Hawthorne,,LIGHT,CA,6/30/1954 12:00,"Hawthorne,CA"
Pasadena,,CIRCLE,CA,6/30/1954 15:00,"Pasadena,CA"
St. Louis Airport,RED,OVAL,MO,7/1/1954 21:00,"St. Louis Airport,MO"
Los Angeles,RED,CIRCLE,CA,7/1/1954 22:00,"Los Angeles,CA"
Walnut Creek,,,CA,7/7/1954 20:00,"Walnut Creek,CA"
West Columbia,,FORMATION,SC,7/7/1954 22:00,"West Columbia,SC"
Morroco,,VARIOUS,IN,7/12/1954 17:30,"Morroco,IN"
Philadelphia,,DISK,PA,7/15/1954 11:00,"Philadelphia,PA"
Greenfield,,CIGAR,IN,7/15/1954 14:00,"Greenfield,IN"
Kansas City,,CHEVRON,KS,7/15/1954 21:00,"Kansas City,KS"
Oakdale,,DISK,NY,7/15/1954 21:00,"Oakdale,NY"
Bridge Hampton,,LIGHT,NY,7/15/1954 22:00,"Bridge Hampton,NY"
Farmingdale,,OVAL,NY,8/1/1954 12:00,"Farmingdale,NY"
Dyer,,TRIANGLE,IN,8/1/1954 17:00,"Dyer,IN"
Canton,,DISK,PA,8/1/1954 21:00,"Canton,PA"
North Hollywood,,LIGHT,CA,8/1/1954 22:00,"North Hollywood,CA"
Puyallup,,OVAL,WA,8/15/1954 21:00,"Puyallup,WA"
Geneva,,DISK,NY,9/1/1954 13:00,"Geneva,NY"
Beaumont,RED,DISK,TX,9/9/1954 12:30,"Beaumont,TX"
Palmer Township,,OTHER,PA,9/15/1954 9:30,"Palmer Township,PA"
Flatwoods,,CIRCLE,WV,10/1/1954 19:00,"Flatwoods,WV"
Blanco,,OTHER,TX,10/15/1954 16:30,"Blanco,TX"
Manistee,,CIRCLE,MI,10/15/1954 21:30,"Manistee,MI"
Denver,,FIREBALL,CO,11/1/1954 18:30,"Denver,CO"
Thelma,,DISK,TX,11/14/1954 1:00,"Thelma,TX"
Red Bank,ORANGE,CIRCLE,NJ,12/15/1954 23:10,"Red Bank,NJ"
Yucaipa,,OVAL,CA,12/16/1954 16:50,"Yucaipa,CA"
New York City,,LIGHT,NY,2/15/1955 19:00,"New York City,NY"
Holbrook,YELLOW,EGG,MA,5/1/1955 15:00,"Holbrook,MA"
Warrington,,FIREBALL,FL,5/15/1955 3:00,"Warrington,FL"
Homaland,,CIRCLE,CA,6/1/1955 0:00,"Homaland,CA"
Bagley,,CIRCLE,MN,6/1/1955 2:00,"Bagley,MN"
Cincinnati,,DISK,OH,6/1/1955 15:29,"Cincinnati,OH"
Martinez,,CIRCLE,CA,6/1/1955 17:00,"Martinez,CA"
Clinton,,EGG,TN,6/1/1955 20:30,"Clinton,TN"
Pensacola,,LIGHT,FL,6/6/1955 1:00,"Pensacola,FL"
South St. Paul,,DISK,MN,6/15/1955 0:00,"South St. Paul,MN"
Terre Haute,ORANGE,CIRCLE,IN,6/15/1955 0:00,"Terre Haute,IN"
Missouri,,LIGHT,MO,6/15/1955 4:30,"Missouri,MO"
Youngstown,,,PA,6/15/1955 8:00,"Youngstown,PA"
Daytona Beach,,FIREBALL,FL,6/15/1955 21:00,"Daytona Beach,FL"
Rantoul,,LIGHT,IL,6/17/1955 7:00,"Rantoul,IL"
Beach Haven Park,,DISK,NJ,6/23/1955 7:00,"Beach Haven Park,NJ"
Quartz Hill,,DISK,CA,6/30/1955 0:00,"Quartz Hill,CA"
Lubbock,,CIGAR,TX,6/30/1955 13:00,"Lubbock,TX"
Dumas,,LIGHT,TX,6/30/1955 21:00,"Dumas,TX"
Morehead City,,DISK,NC,6/30/1955 21:00,"Morehead City,NC"
Carnation,,DISK,WA,7/1/1955 14:00,"Carnation,WA"
Dierks,,CIGAR,AR,7/1/1955 22:00,"Dierks,AR"
Woodland Park,,OVAL,CO,7/15/1955 14:00,"Woodland Park,CO"
Ringold,,LIGHT,LA,7/15/1955 22:00,"Ringold,LA"
Newtown Square,,CIRCLE,PA,8/6/1955 19:00,"Newtown Square,PA"
Independence,,FIREBALL,MO,8/8/1955 1:00,"Independence,MO"
Madisonville,,LIGHT,KY,8/14/1955 1:00,"Madisonville,KY"
Eagle Pass,,CIGAR,TX,8/15/1955 0:01,"Eagle Pass,TX"
Covina,,DISK,CA,8/17/1955 21:00,"Covina,CA"
Bullhead,,DISK,AZ,9/10/1955 23:00,"Bullhead,AZ"
Mono Lake,,CIRCLE,CA,10/1/1955 22:00,"Mono Lake,CA"
West Covina,GREEN,,CA,10/9/1955 18:00,"West Covina,CA"
Rhinebeck,,LIGHT,NY,10/15/1955 20:00,"Rhinebeck,NY"
Weirton,,DISK,WV,1/1/1956 5:30,"Weirton,WV"
Petaluma,,OVAL,CA,3/1/1956 13:00,"Petaluma,CA"
Bowie,,DISK,MD,3/20/1956 20:00,"Bowie,MD"
Hampton,,SPHERE,MN,3/22/1956 17:30,"Hampton,MN"
Canton,,CIGAR,OH,5/1/1956 12:00,"Canton,OH"
Pine castle AFB,,LIGHT,FL,5/15/1956 20:00,"Pine castle AFB,FL"
Ada,,CIRCLE,OK,5/17/1956 10:22,"Ada,OK"
Belton,,OTHER,MO,6/1/1956 19:00,"Belton,MO"
Memphis,ORANGE,CYLINDER,TN,6/1/1956 20:00,"Memphis,TN"
Elmore,,SPHERE,AL,6/5/1956 0:00,"Elmore,AL"
Salt Lake City,,CIRCLE,UT,6/5/1956 0:00,"Salt Lake City,UT"
Upper Glade,,EGG,WV,6/6/1956 12:00,"Upper Glade,WV"
Akron,,OTHER,OH,6/6/1956 22:00,"Akron,OH"
Edroy,,,TX,6/15/1956 1:00,"Edroy,TX"
San Francisco,,OTHER,CA,6/15/1956 12:15,"San Francisco,CA"
Palo Alto,,FIREBALL,CA,6/15/1956 18:00,"Palo Alto,CA"
Richfield Springs,,CIGAR,NY,6/15/1956 18:00,"Richfield Springs,NY"
Vista,ORANGE,CIGAR,CA,6/15/1956 19:15,"Vista,CA"
Farragut,,CIGAR,TN,6/15/1956 20:00,"Farragut,TN"
Tulsa,,FLASH,OK,6/15/1956 20:00,"Tulsa,OK"
Salem,,DISK,NJ,6/15/1956 20:32,"Salem,NJ"
New York City,,LIGHT,NY,6/15/1956 21:00,"New York City,NY"
Cincinnati,,DISK,OH,6/16/1956 13:00,"Cincinnati,OH"
Madera,,SPHERE,CA,6/24/1956 14:00,"Madera,CA"
Willow Grove,,LIGHT,PA,6/30/1956 1:00,"Willow Grove,PA"
Cape Girardeau,,DIAMOND,MO,6/30/1956 13:00,"Cape Girardeau,MO"
New Brunswick,,DISK,NJ,6/30/1956 16:00,"New Brunswick,NJ"
Houston,,TRIANGLE,TX,6/30/1956 18:30,"Houston,TX"
